NTD ID,Agency,Mode,TOS,UZA Name,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019,12/2019,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022,3/2022,4/2022,5/2022,6/2022,7/2022,8/2022,9/2022,10/2022,11/2022,12/2022,1/2023,2/2023,3/2023,4/2023,5/2023,6/2023,7/2023,8/2023,9/2023,10/2023,11/2023,12/2023
1.0,King County,DR,PT,"Seattle--Tacoma, WA","75,357 ","52,494 ","74,996 ","77,393 ","79,347 ","73,323 ","78,161 ","78,350 ","73,259 ","82,385 ","72,116 ","70,734 ","73,573 ","71,893 ","40,217 ","19,769 ","22,043 ","25,108 ","36,591 ","33,059 ","34,071 ","36,070 ","31,020 ","31,977 ","31,199 ","28,890 ","35,712 ","35,814 ","36,331 ","41,474 ","43,135 ","43,801 ","43,153 ","44,676 ","43,901 ","40,018 ","40,600 ","42,738 ","48,918 ","47,823 ","47,934 ","48,485 ","46,783 ","50,105 ","47,887 ","49,032 ","45,283 ","36,627 ","47,779 ","44,231 ","72,764 ","74,025 ","82,275 ","77,174 ","78,108 ","84,351 ","79,299 ","87,293 ","82,661 ","78,703 "
1.0,King County,DR,TX,"Seattle--Tacoma, WA","14,513 ","9,490 ","15,058 ","16,394 ","15,939 ","14,274 ","13,790 ","12,821 ","15,375 ","19,564 ","15,714 ","14,859 ","16,639 ","17,230 ","4,462 ","1,938 ","3,630 ","6,881 ","6,416 ","5,880 ","6,650 ","6,139 ","5,929 ","4,666 ","4,177 ","4,991 ","7,078 ","8,081 ","8,177 ","4,768 ","6,679 ","7,723 ","8,765 ","10,827 ","9,716 ","7,962 ","6,469 ","7,298 ","10,931 ","9,229 ","9,084 ","8,798 ","8,817 ","9,688 ","9,582 ","11,356 ","11,383 ","8,159 ","10,034 ","9,939 ","11,402 ","10,438 ","10,611 ","9,856 ","9,619 ","10,723 ","9,840 ","10,849 ","9,790 ","8,395 "
1.0,King County,FB,DO,"Seattle--Tacoma, WA","59,293 ","41,375 ","56,148 ","58,572 ","69,194 ","74,257 ","90,079 ","67,308 ","62,058 ","56,795 ","34,259 ","32,270 ","37,519 ","35,751 ","14,068 ","2,039 ","2,221 ","4,797 ","9,643 ","10,630 ","9,801 ","8,788 ","5,586 ","6,087 ","5,355 ","5,253 ","8,573 ","12,037 ","26,121 ","34,292 ","52,129 ","44,759 ","33,479 ","27,505 ","20,047 ","17,293 ","15,050 ","18,317 ","26,609 ","29,292 ","33,559 ","45,085 ","61,251 ","60,786 ","46,970 ","30,880 ","18,357 ","14,251 ","19,288 ","17,590 ","26,039 ","25,581 ","39,368 ","41,956 ","63,863 ","52,949 ","40,791 ","30,675 ","20,559 ","21,028 "
1.0,King County,LR,DO,"Seattle--Tacoma, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,King County,MB,DO,"Seattle--Tacoma, WA","8,688,609 ","7,614,112 ","8,662,761 ","8,904,840 ","9,280,947 ","8,622,153 ","8,840,564 ","8,718,288 ","8,437,124 ","9,619,655 ","8,420,473 ","7,718,006 ","8,705,965 ","8,305,939 ","4,773,283 ","2,590,410 ","2,607,899 ","3,188,735 ","3,339,926 ","3,393,742 ","3,328,392 ","3,118,656 ","2,745,130 ","2,767,733 ","2,779,426 ","2,532,122 ","3,157,886 ","3,215,701 ","3,331,400 ","3,583,180 ","3,853,296 ","3,837,242 ","3,998,616 ","4,452,242 ","3,948,846 ","3,422,080 ","3,510,345 ","3,502,095 ","4,311,305 ","4,465,947 ","4,646,615 ","4,664,895 ","4,649,909 ","4,809,401 ","4,804,553 ","5,267,823 ","4,698,068 ","4,172,608 ","4,903,992 ","4,624,888 ","5,351,825 ","5,226,959 ","5,517,552 ","5,360,599 ","5,297,609 ","5,504,095 ","5,252,779 ","6,019,489 ","5,431,339 ","4,994,122 "
1.0,King County,MB,PT,"Seattle--Tacoma, WA","70,170 ","52,515 ","69,962 ","74,335 ","76,854 ","73,276 ","73,532 ","76,842 ","68,857 ","77,534 ","63,584 ","57,259 ","62,560 ","64,113 ","40,660 ","15,922 ","17,805 ","22,781 ","28,871 ","30,110 ","26,673 ","30,341 ","24,817 ","27,282 ","26,459 ","25,200 ","31,986 ","33,621 ","34,275 ","39,931 ","42,570 ","43,531 ","42,090 ","39,911 ","34,179 ","30,413 ","31,895 ","29,913 ","36,464 ","36,619 ","38,005 ","42,727 ","43,627 ","47,773 ","45,057 ","43,505 ","39,996 ","44,496 ","47,215 ","40,774 ","49,429 ","47,464 ","56,127 ","57,589 ","59,736 ","61,101 ","52,834 ","55,513 ","48,613 ","47,492 "
1.0,King County,SR,DO,"Seattle--Tacoma, WA","144,077 ","137,458 ","153,233 ","155,732 ","161,596 ","156,309 ","168,529 ","169,526 ","156,878 ","175,512 ","147,966 ","136,593 ","151,399 ","145,578 ","85,835 ","34,918 ","34,451 ","30,443 ","35,696 ","42,601 ","45,765 ","50,587 ","44,246 ","47,924 ","51,342 ","49,223 ","57,854 ","63,135 ","62,381 ","67,908 ","78,111 ","78,405 ","77,844 ","87,339 ","77,713 ","78,698 ","85,910 ","81,378 ","98,671 ","93,072 ","92,619 ","92,912 ","95,312 ","97,704 ","94,914 ","96,756 ","95,817 ","92,540 ","106,510 ","102,550 ","112,389 ","107,320 ","124,293 ","126,239 ","128,178 ","124,770 ","119,129 ","131,998 ","120,525 ","107,916 "
1.0,King County,TB,DO,"Seattle--Tacoma, WA","1,617,828 ","1,393,520 ","1,535,754 ","1,447,259 ","1,469,234 ","1,338,321 ","1,452,080 ","1,430,826 ","1,392,871 ","1,631,459 ","1,359,154 ","1,305,145 ","1,497,300 ","1,389,997 ","863,508 ","495,138 ","458,006 ","274,535 ","539,670 ","570,083 ","593,869 ","630,329 ","510,830 ","561,898 ","469,084 ","440,302 ","576,453 ","592,107 ","608,223 ","649,711 ","747,003 ","743,959 ","812,494 ","812,920 ","830,823 ","693,107 ","764,676 ","722,067 ","820,847 ","725,677 ","800,882 ","820,791 ","788,387 ","819,111 ","847,288 ","846,428 ","868,088 ","750,801 ","878,388 ","793,475 ","886,364 ","789,292 ","998,610 ","962,289 ","957,672 ","943,718 ","846,945 ","969,019 ","967,816 ","857,978 "
1.0,King County,VP,DO,"Seattle--Tacoma, WA","281,132 ","234,024 ","275,167 ","288,535 ","291,077 ","267,982 ","286,244 ","287,285 ","270,832 ","298,239 ","261,463 ","258,206 ","323,691 ","309,265 ","150,354 ","32,952 ","38,043 ","26,597 ","28,512 ","32,361 ","27,504 ","42,268 ","37,623 ","35,632 ","36,860 ","34,949 ","42,207 ","41,359 ","40,110 ","43,649 ","45,237 ","47,013 ","47,307 ","47,293 ","45,758 ","40,418 ","43,629 ","45,348 ","57,063 ","57,573 ","60,256 ","63,282 ","60,391 ","65,855 ","65,890 ","65,921 ","62,687 ","54,814 ","72,096 ","69,834 ","81,032 ","77,479 ","94,057 ","98,073 ","91,767 ","107,310 ","104,167 ","112,450 ","107,242 ","88,977 "
2.0,Spokane Transit Authority,DR,DO,"Spokane, WA","21,100 ","17,155 ","19,783 ","21,185 ","21,562 ","17,882 ","19,381 ","18,349 ","17,804 ","21,740 ","18,034 ","17,816 ","20,028 ","17,115 ","11,277 ","5,447 ","6,161 ","8,192 ","7,354 ","7,646 ","8,133 ","8,736 ","8,598 ","9,285 ","9,598 ","9,760 ","12,106 ","11,923 ","11,346 ","12,273 ","11,750 ","12,319 ","12,891 ","13,838 ","13,264 ","12,741 ","11,683 ","12,130 ","15,725 ","14,595 ","14,658 ","14,197 ","12,146 ","14,852 ","14,291 ","15,379 ","14,914 ","13,134 ","14,999 ","14,369 ","17,538 ","15,213 ","17,355 ","16,826 ","15,408 ","17,550 ","16,223 ","18,088 ","17,067 ","15,336 "
